,SeriesLength,Wins,PossibleMoney,WinPercent,ExpectedValue
0,1.0,1.0,990000.0,0.6,594000.0
1,3.0,2.0,970000.0,0.6479999999999999,628559.9999999999
2,5.0,3.0,950000.0,0.68256,648432.0
3,7.0,4.0,930000.0,0.7102080000000001,660493.4400000001
4,9.0,5.0,910000.0,0.7334323199999999,667423.4112
5,11.0,6.0,890000.0,0.75349813248,670613.3379072
6,13.0,7.0,870000.0,0.7711560474624001,670905.7612922881
7,15.0,8.0,850000.0,0.7868968173895678,668862.2947811327
8,17.0,9.0,830000.0,0.8010635103240192,664882.713568936
9,19.0,10.0,810000.0,0.8139079785845882,659265.4626535164
10,21.0,11.0,790000.0,0.8256221336382273,652241.4855741996
11,23.0,12.0,770000.0,0.8363565593601074,643994.5507072827
12,25.0,13.0,750000.0,0.846232231024237,634674.1732681777
13,27.0,14.0,730000.0,0.8553482356372798,624404.2120152143
14,29.0,15.0,710000.0,0.8637870513362107,613288.8064487096
15,31.0,16.0,690000.0,0.8716182723048188,601416.607890325
16,33.0,17.0,670000.0,0.8789013078056243,588863.8762297683
17,35.0,18.0,650000.0,0.8856873832369633,575696.7991040262
18,37.0,19.0,630000.0,0.8920210536395459,561973.2637929139
19,39.0,20.0,610000.0,0.8979413687105917,547744.2349134609
20,41.0,21.0,590000.0,0.9034827836170906,533054.8423340834
21,43.0,22.0,570000.0,0.9086758810151812,517945.25217865326
22,45.0,23.0,550000.0,0.9135479505741168,502451.3728157642
23,47.0,24.0,530000.0,0.9181234593772911,486605.4334699643
24,49.0,25.0,510000.0,0.9224244376522752,470436.4632026604
25,51.0,26.0,490000.0,0.9264707980133801,453970.69102655625
26,53.0,27.0,470000.0,0.930280601922605,437231.8829036243
27,55.0,28.0,450000.0,0.9338702838281855,420241.6277226835
28,57.0,29.0,430000.0,0.9372548410534477,403019.5816529825
29,59.0,30.0,410000.0,0.9404479957321775,385583.6782501928
30,61.0,31.0,390000.0,0.9434623337488984,367950.3101620704
31,63.0,32.0,370000.0,0.9463094246240465,350134.4871108972
32,65.0,33.0,350000.0,0.9489999255010615,332149.97392537154
33,67.0,34.0,330000.0,0.9515436717847847,314009.41168897896
34,69.0,35.0,310000.0,0.9539497565049182,295724.42451652465
35,71.0,36.0,290000.0,0.9562266001029415,277305.714029853
36,73.0,37.0,270000.0,0.9583820120424038,258763.14325144902
37,75.0,38.0,250000.0,0.9604232454034511,240105.8113508628
38,77.0,39.0,230000.0,0.962357045429707,221342.1204488326
39,79.0,40.0,210000.0,0.9641896928392045,202479.83549623296
40,81.0,41.0,190000.0,0.9659270425834077,183526.13809084747
41,83.0,42.0,170000.0,0.9675745586335208,164487.67496769855
42,85.0,43.0,150000.0,0.969137345286771,145370.60179301564
43,87.0,44.0,130000.0,0.9706201754135759,126180.62280376487
44,89.0,45.0,110000.0,0.9720275160066526,106923.02676073178
45,91.0,46.0,90000.0,0.9733635513430132,87602.71962087118
46,93.0,47.0,70000.0,0.9746322040276267,68224.25428193387
47,95.0,48.0,50000.0,0.9758371541519067,48791.857707595336
48,97.0,49.0,30000.0,0.976981856769973,29309.45570309919
49,99.0,50.0,10000.0,0.9780695578699149,9780.69557869915
